name,faction,start_date,end_date
Абдуллін Олександр Рафкатович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Абдуллін Олександр Рафкатович,"Група ""Європейський вибір""",2002-06-20,2002-12-27
Абдуллін Олександр Рафкатович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-12-27,2005-03-04
Абдуллін Олександр Рафкатович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-03-04,2005-12-16
Абдуллін Олександр Рафкатович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Авраменко Володимир Федорович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Авраменко Володимир Федорович,"Фракція ""Регіони України""",2002-06-20,2005-09-08
Авраменко Володимир Федорович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Акопян Валерій Григорович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Акопян Валерій Григорович,"Фракція ""Регіони України""",2002-06-20,2004-12-01
Акопян Валерій Григорович,Фракція Народної аграрної партії України,2004-12-14,2005-03-01
Акопян Валерій Григорович,Фракція Народної Партії,2005-03-01,2005-12-21
Александровська Алла Олександрівна,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Алексєєв Ігор Вікторович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Альошин Валерій Борисович,"Фракція ""Наша Україна""",2002-05-15,2005-03-16
Альошин Валерій Борисович,Фракція Української Народної Партії,2005-03-16,2005-12-14
Альошин Валерій Борисович,"Фракція ""Партії промисловців і підприємців України""",2005-12-23,2006-05-25
Анастасієв Валентин Олексійович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Андресюк Борис Павлович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-05-15,2004-12-04
Андресюк Борис Павлович,Фракція Народної Партії,2005-05-18,2006-05-25
Анісімов В'ячеслав Олександрович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Аніщук Володимир Васильович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Антемюк Віктор Дмитрович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
