1,Абдуллін Олександр Рафкатович,"ВО ""Батьківщина"""
2,Аваков Арсен Борисович,None
4,Агафонова Наталія Володимирівна,Блок Петра Порошенка
18549,Алексєєв Ігор Сергійович,Народний фронт
26325,Алєксєєв Сергій Олегович,Блок Петра Порошенка
21421,Амельченко Василь Васильович,Радикальна партія Ляшка
7,Андрієвський Дмитро Йосипович,Блок Петра Порошенка
26315,Антонищак Андрій Федорович,Блок Петра Порошенка
22417,Арешонков Володимир Юрійович,Блок Петра Порошенка
21635,Ар’єв Володимир Ігорович,Блок Петра Порошенка
24620,Артеменко Андрій Вікторович,Радикальна партія Ляшка
22542,Артюшенко Ігор Андрійович,Блок Петра Порошенка
11,Атрошенко Владислав Анатолійович,Не входить до складу жодної фракції
25921,Бабак Альона Валеріївна,"Об'єднання ""Самопоміч"""
18472,Бабенко Валерій Борисович,Народний фронт
25053,Бабій Юрій Юрійович,Не входить до складу жодної фракції
23016,Бакулін Євген Миколайович,Опозиційний блок
26326,Бакуменко Олександр Борисович,Блок Петра Порошенка
17,Балицький Євген Віталійович,Не входить до складу жодної фракції
19,Балога Віктор Іванович,Не входить до складу жодної фракції
19738,Балога Іван Іванович,Не входить до складу жодної фракції
18,Балога Павло Іванович,Не входить до складу жодної фракції
20,Бандуров Володимир Володимирович,"Група ""Воля народу"""
21,Барвіненко Віталій Дмитрович,"Група ""Економічний розвиток"""
23868,Барна Олег Степанович,Блок Петра Порошенка
26331,Барна Степан Степанович,Блок Петра Порошенка
20495,Батенко Тарас Іванович,Блок Петра Порошенка
22,Бахтеєва Тетяна Дмитрівна,Опозиційний блок
23,Безбах Яків Якович,Не входить до складу жодної фракції
24417,Береза Борислав Юхимович,Не входить до складу жодної фракції
25028,Береза Юрій Миколайович,Народний фронт
26,Березкін Станіслав Семенович,"Група ""Економічний розвиток"""
25941,Березюк Олег Романович,"Об'єднання ""Самопоміч"""
27,Бєлькова Ольга Валентинівна,Блок Петра Порошенка
24490,Білецький Андрій Євгенійович,Не входить до складу жодної фракції
29,Білий Олексій Петрович,Опозиційний блок
30,Біловол Олександр Миколайович,"Група ""Економічний розвиток"""
35,Бобов Геннадій Борисович,"Група ""Економічний розвиток"""
26302,Богомолець Ольга Вадимівна,Блок Петра Порошенка
37,Богуслаєв Вячеслав Олександрович,"Група ""Воля народу"""
18544,Бойко Олена Петрівна,Народний фронт
24861,Бойко Юрій Анатолійович,Опозиційний блок
40,Бондар Віктор Васильович,"Група ""Воля народу"""
23233,Бондар Михайло Леонтійович,Народний фронт
24614,Бордюг Інна Леонідівна,Радикальна партія Ляшка
19690,Брензович Василь Іванович,Блок Петра Порошенка
49,Бриченко Ігор Віталійович,Народний фронт
50,Бублик Юрій Васильович,Не входить до складу жодної фракції
51,Бурбак Максим Юрійович,Народний фронт
23820,Бухарєв Владислав Вікторович,"ВО ""Батьківщина"""
23335,Вадатурський Андрій Олексійович,Блок Петра Порошенка
22618,Валентиров Сергій Васильович,Блок Петра Порошенка
25036,Ванат Петро Михайлович,Народний фронт
60,Васюник Ігор Васильович,Народний фронт
25034,Величкович Микола Романович,Народний фронт
25922,Веселова Наталія Василівна,"Об'єднання ""Самопоміч"""
25035,Висоцький Сергій Віталійович,Народний фронт
24862,Вілкул Олександр Юрійович,Опозиційний блок
21135,Вінник Іван Юлійович,Блок Петра Порошенка
24616,Вітко Артем Леонідович,Радикальна партія Ляшка
18440,Власенко Сергій Володимирович,"ВО ""Батьківщина"""
21281,Вовк Віктор Іванович,Радикальна партія Ляшка
64,Вознюк Юрій Володимирович,Народний фронт
25037,Войцеховська Світлана Михайлівна,Народний фронт
25935,Войціцька Вікторія Михайлівна,"Об'єднання ""Самопоміч"""
67,Воропаєв Юрій Миколайович,Опозиційний блок
24617,Вощевський Валерій Миколайович,None
22824,Гаврилюк Михайло Віталійович,Народний фронт
24618,Галасюк Віктор Валерійович,Радикальна партія Ляшка
22012,Гальченко Андрій Володимирович,Опозиційний блок
23161,Гарбуз Юрій Григорійович,Блок Петра Порошенка
26324,Гвоздьов Михайло Олексійович,Блок Петра Порошенка
19537,Герасимов Артур Володимирович,Блок Петра Порошенка
25030,Геращенко Антон Юрійович,Народний фронт
71,Геращенко Ірина Володимирівна,Блок Петра Порошенка
72,Герега Олександр Володимирович,Не входить до складу жодної фракції
75,Гєллєр Євгеній Борисович,"Група ""Економічний розвиток"""
77,Гіршфельд Анатолій Мусійович,"Група ""Воля народу"""
81,Головко Михайло Йосифович,Не входить до складу жодної фракції
24213,Голуб Владислав Володимирович,Блок Петра Порошенка
23449,Голубов Дмитро Іванович,Блок Петра Порошенка
20598,Гончаренко Олексій Олексійович,Блок Петра Порошенка
25914,Гопко Ганна Миколаївна,"Об'єднання ""Самопоміч"""
18540,Горбунов Олександр Володимирович,Народний фронт
22474,Горват Роберт Іванович,Блок Петра Порошенка
18363,Гордєєв Андрій Анатолійович,Блок Петра Порошенка
26327,Грановський Олександр Михайлович,Блок Петра Порошенка
89,Гриневич Лілія Михайлівна,Народний фронт
18445,Гринів Ігор Олексійович,Блок Петра Порошенка
26303,Гройсман Володимир Борисович,Не входить до складу жодної фракції
19992,Гудзенко Віталій Іванович,Блок Петра Порошенка
19228,Гузь Ігор Володимирович,Народний фронт
23508,Гуляєв Василь Олександрович,"Група ""Економічний розвиток"""
24868,Гусак Володимир Георгійович,Опозиційний блок
24349,Давиденко Валерій Миколайович,Блок Петра Порошенка
25923,Данченко Олександр Іванович,"Об'єднання ""Самопоміч"""
25032,Дейдей Євген Сергійович,Народний фронт
19183,Демчак Руслан Євгенійович,Блок Петра Порошенка
101,Денисенко Анатолій Петрович,Не входить до складу жодної фракції
